import time: self [us] | cumulative | imported package
import time:       301 |        301 |               pandas.core.arrays.floating
import time:       309 |        309 |                   pandas.core.indexes
import time:      2358 |       2358 |                   pandas._libs.index
import time:      2302 |       2302 |                   pandas._libs.join
import time:       411 |        411 |                   pandas.core.array_algos.putmask
import time:      1897 |       1897 |                         pandas._libs.sparse
import time:       406 |        406 |                         pandas.core.arrays.sparse.dtype
import time:       537 |        537 |                         pandas.io.formats.printing
import time:       692 |       3530 |                       pandas.core.arrays.sparse.array
import time:       507 |       4037 |                     pandas.core.arrays.sparse.accessor
import time:       400 |       4436 |                   pandas.core.arrays.sparse
import time:       965 |        965 |                     pandas.core.arrays.numpy_
import time:       574 |       1538 |                   pandas.core.arrays.string_
import time:       440 |        440 |                   pandas.core.indexes.frozen
import time:      2513 |      14305 |                 pandas.core.indexes.base
import time:      1389 |      15694 |               pandas.core.arrays.interval
import time:       644 |        644 |               pandas.core.arrays.period
import time:       556 |        556 |               pandas.core.arrays.string_arrow
import time:       723 |        723 |               pandas.core.arrays.timedeltas
import time:       469 |     122111 |             pandas.core.arrays
import time:       303 |        303 |             pandas.core.flags
import time:      1057 |       1057 |                 pandas._libs.reduction
import time:       706 |        706 |                 pandas.core.apply
import time:       842 |        842 |                       pandas._libs.indexing
import time:       389 |        389 |                           pandas.core.indexes.extension
import time:       531 |        919 |                         pandas.core.indexes.category
import time:       526 |        526 |                               pandas.core.indexes.numeric
import time:       726 |       1252 |                             pandas.core.indexes.range
import time:       376 |        376 |                               pandas.core.tools
import time:       443 |        818 |                             pandas.core.tools.timedeltas
import time:       809 |       2878 |                           pandas.core.indexes.datetimelike
import time:       249 |        249 |                           pandas.core.tools.times
import time:      1137 |       4264 |                         pandas.core.indexes.datetimes
import time:      1509 |       1509 |                           pandas.core.indexes.multi
import time:       397 |        397 |                           pandas.core.indexes.timedeltas
import time:       959 |       2864 |                         pandas.core.indexes.interval
import time:       958 |        958 |                         pandas.core.indexes.period
import time:       401 |       9404 |                       pandas.core.indexes.api
import time:      1544 |      11789 |                     pandas.core.indexing
import time:       302 |        302 |                     pandas.core.sample
import time:       249 |        249 |                     pandas.core.array_algos.replace
import time:       383 |        383 |                         pandas.core.reshape
import time:       111 |        111 |                               backports_abc
import time:      4933 |       5043 |                             pandas._libs.internals
import time:      1646 |       1646 |                               pandas._libs.writers
import time:       881 |       2526 |                             pandas.core.internals.blocks
import time:       464 |       8032 |                           pandas.core.internals.api
import time:       386 |        386 |                             pandas.core.internals.base
import time:       673 |       1059 |                           pandas.core.internals.array_manager
import time:       408 |        408 |                               pandas.core.internals.ops
import time:       742 |       1150 |                             pandas.core.internals.managers
import time:       405 |       1554 |                           pandas.core.internals.concat
import time:       366 |      11009 |                         pandas.core.internals
import time:       650 |      12041 |                       pandas.core.reshape.concat
import time:       476 |        476 |                           dataclasses
import time:       616 |        616 |                           gzip
import time:       650 |        650 |                           mmap
import time:       971 |        971 |                           tarfile
import time:       858 |        858 |                           zipfile
import time:       309 |        309 |                           pandas.core.shared_docs
import time:      1613 |       5490 |                         pandas.io.common
import time:       958 |       6448 |                       pandas.io.formats.format
import time:       357 |      18844 |                     pandas.core.describe
import time:       455 |        455 |                     pandas.core.internals.construction
import time:       370 |        370 |                           pandas._libs.window
import time:      2291 |       2661 |                         pandas._libs.window.aggregations
import time:      1341 |       1341 |                           pandas._libs.window.indexers
